Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9963754676604477,0.03145302907880449,0.6048970831331149,0.5922091979067438,19.071388790626948,0.6873384926264156
2,1.0000002458047454,0.012482598297813268,0.9991057236874825,0.9991025632671389,18.807910082298655,0.7944443854543592
3,1.000004675958617,0.00814935290093617,0.9994749693087267,0.999479272180057,20.875170555019494,0.8586365238733868
4,0.9999952865952374,0.007467388839028797,0.9989166419512944,0.998905138941938,19.915504314536097,0.8422565659459799
5,1.0000244875462667,0.008336871387188723,0.9977158321770879,0.9976965853735075,21.339783454425444,0.835369036073987
6,0.9999992809652939,0.007999804463728683,0.9999873373625258,0.9999865997765182,23.351897153135116,0.8777146267272553
7,0.9999995052986255,0.005940365881500739,0.999982904803856,0.999982388802839,24.98903742184037,0.9172891634341963
8,0.9999994987713157,0.005509115972117352,0.9999768283937438,0.9999762869705728,26.45575138791678,0.9030174623305242
9,1.0000001198963748,0.005087078171037406,0.9999749207015683,0.9999750481558808,23.31099632538035,0.9068673751196188
10,1.0000002899499723,0.005579660951075351,0.9999795532020437,0.999979855347779,26.066262255141304,0.9309311974632637
